--------------------------------------------------------------------------------
2022/01/18  19:59:21
PatienceNum:	100
Save path:	HardeningModel\dmdmd_Fourier_data_Noscaled
Model architecture:	 Net(
  (layers): ModuleList(
    (0): Linear(in_features=100, out_features=100, bias=True)
    (1): Linear(in_features=100, out_features=100, bias=True)
    (2): Linear(in_features=100, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=100, bias=True)
    (4): Linear(in_features=100, out_features=1, bias=True)
  )
  (activation): Sigmoid()
  (first): Linear(in_features=100, out_features=100, bias=True)
)
Optimizer:	Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    initial_lr: 0.002
    lr: 0.002
    weight_decay: 0
)
Number of training samples:	5000
--------------------------------------------------------------------------------
Epoch: 0 	 lr: 2.000e-03 	 Loss: 1.105e+03/1.105e+03 	 Loss0: 1.744e+12 	 Loss1: 4.082e+17 	 Improved! 	timeConsumed: 5.402e-03 mins
Epoch: 10 	 lr: 2.000e-03 	 Loss: 1.118e+01/1.118e+01 	 Loss0: 5.181e+10 	 Loss1: 4.123e+15 	 Improved! 	timeConsumed: 1.634e-02 mins
Epoch: 20 	 lr: 2.000e-03 	 Loss: 8.170e+00/8.170e+00 	 Loss0: 6.079e+09 	 Loss1: 3.021e+15 	 Improved! 	timeConsumed: 2.719e-02 mins
Epoch: 30 	 lr: 2.000e-03 	 Loss: 6.969e-01/6.969e-01 	 Loss0: 3.856e+07 	 Loss1: 2.578e+14 	 Improved! 	timeConsumed: 3.831e-02 mins
Epoch: 40 	 lr: 2.000e-03 	 Loss: 1.697e+00/6.969e-01 	 Loss0: 8.538e+08 	 Loss1: 6.274e+14 	 Noimproved! in 10 tirals 	timeConsumed: 4.910e-02 mins
Epoch: 50 	 lr: 2.000e-03 	 Loss: 7.517e-01/6.969e-01 	 Loss0: 1.024e+08 	 Loss1: 2.781e+14 	 Noimproved! in 20 tirals 	timeConsumed: 6.009e-02 mins
Epoch: 60 	 lr: 2.000e-03 	 Loss: 4.408e+00/6.969e-01 	 Loss0: 3.669e+09 	 Loss1: 1.630e+15 	 Noimproved! in 30 tirals 	timeConsumed: 7.093e-02 mins
Epoch: 70 	 lr: 2.000e-03 	 Loss: 2.950e+00/6.969e-01 	 Loss0: 7.995e+08 	 Loss1: 1.091e+15 	 Noimproved! in 40 tirals 	timeConsumed: 8.186e-02 mins
Epoch: 80 	 lr: 2.000e-03 	 Loss: 9.344e-01/6.969e-01 	 Loss0: 5.392e+08 	 Loss1: 3.455e+14 	 Noimproved! in 50 tirals 	timeConsumed: 9.277e-02 mins
Epoch: 90 	 lr: 2.000e-03 	 Loss: 6.785e-01/6.785e-01 	 Loss0: 5.976e+08 	 Loss1: 2.509e+14 	 Improved! 	timeConsumed: 1.036e-01 mins
Epoch: 100 	 lr: 2.000e-03 	 Loss: 8.583e-01/6.785e-01 	 Loss0: 6.499e+07 	 Loss1: 3.175e+14 	 Noimproved! in 10 tirals 	timeConsumed: 1.146e-01 mins
