--------------------------------------------------------------------------------
2022/01/18  20:02:50
PatienceNum:	100
Save path:	HardeningModel\mmmmd_Fourier_data_Noscaled
Model architecture:	 Net(
  (layers): ModuleList(
    (0): Linear(in_features=100, out_features=100, bias=True)
    (1): Linear(in_features=100, out_features=100, bias=True)
    (2): Linear(in_features=100, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=100, bias=True)
    (4): Linear(in_features=100, out_features=1, bias=True)
  )
  (activation): Sigmoid()
  (first): Linear(in_features=100, out_features=100, bias=True)
)
Optimizer:	Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    initial_lr: 0.002
    lr: 0.002
    weight_decay: 0
)
Number of training samples:	5000
--------------------------------------------------------------------------------
Epoch: 0 	 lr: 2.000e-03 	 Loss: 2.979e+03/2.979e+03 	 Loss0: 7.298e+12 	 Loss1: 1.100e+18 	 Improved! 	timeConsumed: 5.701e-03 mins
Epoch: 10 	 lr: 2.000e-03 	 Loss: 6.098e+00/6.098e+00 	 Loss0: 8.534e+08 	 Loss1: 2.255e+15 	 Improved! 	timeConsumed: 1.730e-02 mins
Epoch: 20 	 lr: 2.000e-03 	 Loss: 7.104e+00/6.098e+00 	 Loss0: 8.206e+08 	 Loss1: 2.628e+15 	 Noimproved! in 10 tirals 	timeConsumed: 2.902e-02 mins
Epoch: 30 	 lr: 2.000e-03 	 Loss: 1.595e+00/1.595e+00 	 Loss0: 9.815e+07 	 Loss1: 5.899e+14 	 Improved! 	timeConsumed: 4.077e-02 mins
Epoch: 40 	 lr: 2.000e-03 	 Loss: 4.765e+00/1.595e+00 	 Loss0: 4.339e+08 	 Loss1: 1.763e+15 	 Noimproved! in 10 tirals 	timeConsumed: 5.233e-02 mins
Epoch: 50 	 lr: 2.000e-03 	 Loss: 1.090e+00/1.090e+00 	 Loss0: 8.560e+07 	 Loss1: 4.031e+14 	 Improved! 	timeConsumed: 6.424e-02 mins
Epoch: 60 	 lr: 2.000e-03 	 Loss: 9.360e-01/9.360e-01 	 Loss0: 4.384e+07 	 Loss1: 3.462e+14 	 Improved! 	timeConsumed: 7.596e-02 mins
Epoch: 70 	 lr: 2.000e-03 	 Loss: 9.068e-01/9.068e-01 	 Loss0: 9.714e+07 	 Loss1: 3.354e+14 	 Improved! 	timeConsumed: 8.730e-02 mins
Epoch: 80 	 lr: 2.000e-03 	 Loss: 8.309e-01/8.309e-01 	 Loss0: 1.787e+08 	 Loss1: 3.073e+14 	 Improved! 	timeConsumed: 9.862e-02 mins
Epoch: 90 	 lr: 2.000e-03 	 Loss: 1.351e+00/8.309e-01 	 Loss0: 1.882e+08 	 Loss1: 4.996e+14 	 Noimproved! in 10 tirals 	timeConsumed: 1.104e-01 mins
Epoch: 100 	 lr: 2.000e-03 	 Loss: 4.075e-01/4.075e-01 	 Loss0: 6.398e+07 	 Loss1: 1.507e+14 	 Improved! 	timeConsumed: 1.231e-01 mins
Epoch: 110 	 lr: 2.000e-03 	 Loss: 4.985e-01/4.075e-01 	 Loss0: 5.613e+07 	 Loss1: 1.844e+14 	 Noimproved! in 10 tirals 	timeConsumed: 1.345e-01 mins
Epoch: 120 	 lr: 2.000e-03 	 Loss: 7.618e-01/4.075e-01 	 Loss0: 6.100e+07 	 Loss1: 2.818e+14 	 Noimproved! in 20 tirals 	timeConsumed: 1.461e-01 mins
Epoch: 130 	 lr: 2.000e-03 	 Loss: 9.073e-01/4.075e-01 	 Loss0: 1.493e+08 	 Loss1: 3.356e+14 	 Noimproved! in 30 tirals 	timeConsumed: 1.576e-01 mins
Epoch: 140 	 lr: 2.000e-03 	 Loss: 6.074e-01/4.075e-01 	 Loss0: 9.444e+07 	 Loss1: 2.247e+14 	 Noimproved! in 40 tirals 	timeConsumed: 1.692e-01 mins
Epoch: 150 	 lr: 2.000e-03 	 Loss: 5.064e-01/4.075e-01 	 Loss0: 9.078e+07 	 Loss1: 1.873e+14 	 Noimproved! in 50 tirals 	timeConsumed: 1.813e-01 mins
Epoch: 160 	 lr: 2.000e-03 	 Loss: 2.098e-01/2.098e-01 	 Loss0: 1.242e+07 	 Loss1: 7.761e+13 	 Improved! 	timeConsumed: 1.933e-01 mins
Epoch: 170 	 lr: 2.000e-03 	 Loss: 4.641e-01/2.098e-01 	 Loss0: 1.083e+08 	 Loss1: 1.717e+14 	 Noimproved! in 10 tirals 	timeConsumed: 2.053e-01 mins
Epoch: 180 	 lr: 2.000e-03 	 Loss: 6.004e-01/2.098e-01 	 Loss0: 1.721e+08 	 Loss1: 2.220e+14 	 Noimproved! in 20 tirals 	timeConsumed: 2.170e-01 mins
Epoch: 190 	 lr: 2.000e-03 	 Loss: 6.179e-01/2.098e-01 	 Loss0: 5.226e+07 	 Loss1: 2.285e+14 	 Noimproved! in 30 tirals 	timeConsumed: 2.290e-01 mins
Epoch: 200 	 lr: 2.000e-03 	 Loss: 2.828e-01/2.098e-01 	 Loss0: 1.854e+08 	 Loss1: 1.046e+14 	 Noimproved! in 40 tirals 	timeConsumed: 2.410e-01 mins
Epoch: 210 	 lr: 2.000e-03 	 Loss: 1.951e-01/1.951e-01 	 Loss0: 3.102e+07 	 Loss1: 7.217e+13 	 Improved! 	timeConsumed: 2.529e-01 mins
Epoch: 220 	 lr: 2.000e-03 	 Loss: 1.574e-01/1.574e-01 	 Loss0: 1.847e+08 	 Loss1: 5.816e+13 	 Improved! 	timeConsumed: 2.649e-01 mins
Epoch: 230 	 lr: 2.000e-03 	 Loss: 1.929e-01/1.574e-01 	 Loss0: 1.051e+08 	 Loss1: 7.135e+13 	 Noimproved! in 10 tirals 	timeConsumed: 2.771e-01 mins
Epoch: 240 	 lr: 2.000e-03 	 Loss: 3.374e-01/1.574e-01 	 Loss0: 6.497e+07 	 Loss1: 1.248e+14 	 Noimproved! in 20 tirals 	timeConsumed: 2.892e-01 mins
Epoch: 250 	 lr: 2.000e-03 	 Loss: 2.838e-01/1.574e-01 	 Loss0: 3.171e+07 	 Loss1: 1.050e+14 	 Noimproved! in 30 tirals 	timeConsumed: 3.009e-01 mins
Epoch: 260 	 lr: 2.000e-03 	 Loss: 3.788e-01/1.574e-01 	 Loss0: 1.642e+08 	 Loss1: 1.401e+14 	 Noimproved! in 40 tirals 	timeConsumed: 3.137e-01 mins
Epoch: 270 	 lr: 2.000e-03 	 Loss: 1.570e-01/1.570e-01 	 Loss0: 9.220e+07 	 Loss1: 5.805e+13 	 Improved! 	timeConsumed: 3.253e-01 mins
Epoch: 280 	 lr: 2.000e-03 	 Loss: 1.708e-01/1.570e-01 	 Loss0: 1.326e+08 	 Loss1: 6.317e+13 	 Noimproved! in 10 tirals 	timeConsumed: 3.369e-01 mins
Epoch: 290 	 lr: 2.000e-03 	 Loss: 1.994e-01/1.570e-01 	 Loss0: 3.431e+07 	 Loss1: 7.376e+13 	 Noimproved! in 20 tirals 	timeConsumed: 3.486e-01 mins
Epoch: 300 	 lr: 2.000e-03 	 Loss: 1.228e-01/1.228e-01 	 Loss0: 6.715e+07 	 Loss1: 4.539e+13 	 Improved! 	timeConsumed: 3.606e-01 mins
Epoch: 310 	 lr: 2.000e-03 	 Loss: 1.873e-01/1.228e-01 	 Loss0: 3.200e+08 	 Loss1: 6.922e+13 	 Noimproved! in 10 tirals 	timeConsumed: 3.722e-01 mins
Epoch: 320 	 lr: 2.000e-03 	 Loss: 4.468e-01/1.228e-01 	 Loss0: 9.904e+07 	 Loss1: 1.653e+14 	 Noimproved! in 20 tirals 	timeConsumed: 3.840e-01 mins
Epoch: 330 	 lr: 2.000e-03 	 Loss: 3.451e-01/1.228e-01 	 Loss0: 2.592e+08 	 Loss1: 1.276e+14 	 Noimproved! in 30 tirals 	timeConsumed: 3.957e-01 mins
Epoch: 340 	 lr: 2.000e-03 	 Loss: 1.217e+00/1.228e-01 	 Loss0: 1.834e+08 	 Loss1: 4.501e+14 	 Noimproved! in 40 tirals 	timeConsumed: 4.076e-01 mins
Epoch: 350 	 lr: 2.000e-03 	 Loss: 4.339e-01/1.228e-01 	 Loss0: 1.579e+09 	 Loss1: 1.601e+14 	 Noimproved! in 50 tirals 	timeConsumed: 4.198e-01 mins
Epoch: 360 	 lr: 2.000e-03 	 Loss: 5.937e-01/1.228e-01 	 Loss0: 1.129e+08 	 Loss1: 2.196e+14 	 Noimproved! in 60 tirals 	timeConsumed: 4.317e-01 mins
Epoch: 370 	 lr: 2.000e-03 	 Loss: 1.228e-01/1.228e-01 	 Loss0: 5.614e+07 	 Loss1: 4.540e+13 	 Noimproved! in 70 tirals 	timeConsumed: 4.442e-01 mins
Epoch: 380 	 lr: 2.000e-03 	 Loss: 5.485e-02/5.485e-02 	 Loss0: 2.057e+07 	 Loss1: 2.029e+13 	 Improved! 	timeConsumed: 4.560e-01 mins
Epoch: 390 	 lr: 2.000e-03 	 Loss: 1.358e-01/5.485e-02 	 Loss0: 6.415e+07 	 Loss1: 5.022e+13 	 Noimproved! in 10 tirals 	timeConsumed: 4.678e-01 mins
Epoch: 400 	 lr: 2.000e-03 	 Loss: 9.343e-02/5.485e-02 	 Loss0: 2.836e+07 	 Loss1: 3.456e+13 	 Noimproved! in 20 tirals 	timeConsumed: 4.806e-01 mins
Epoch: 410 	 lr: 2.000e-03 	 Loss: 4.155e-02/4.155e-02 	 Loss0: 1.232e+08 	 Loss1: 1.534e+13 	 Improved! 	timeConsumed: 4.924e-01 mins
Epoch: 420 	 lr: 2.000e-03 	 Loss: 1.267e-01/4.155e-02 	 Loss0: 1.278e+08 	 Loss1: 4.683e+13 	 Noimproved! in 10 tirals 	timeConsumed: 5.047e-01 mins
Epoch: 430 	 lr: 2.000e-03 	 Loss: 1.678e+00/4.155e-02 	 Loss0: 3.595e+08 	 Loss1: 6.208e+14 	 Noimproved! in 20 tirals 	timeConsumed: 5.165e-01 mins
Epoch: 440 	 lr: 2.000e-03 	 Loss: 7.189e-01/4.155e-02 	 Loss0: 5.229e+08 	 Loss1: 2.658e+14 	 Noimproved! in 30 tirals 	timeConsumed: 5.281e-01 mins
Epoch: 450 	 lr: 2.000e-03 	 Loss: 1.388e-01/4.155e-02 	 Loss0: 7.750e+07 	 Loss1: 5.132e+13 	 Noimproved! in 40 tirals 	timeConsumed: 5.399e-01 mins
Epoch: 460 	 lr: 2.000e-03 	 Loss: 1.535e-01/4.155e-02 	 Loss0: 3.749e+08 	 Loss1: 5.669e+13 	 Noimproved! in 50 tirals 	timeConsumed: 5.516e-01 mins
Epoch: 470 	 lr: 2.000e-03 	 Loss: 1.764e-01/4.155e-02 	 Loss0: 3.742e+07 	 Loss1: 6.523e+13 	 Noimproved! in 60 tirals 	timeConsumed: 5.636e-01 mins
Epoch: 480 	 lr: 2.000e-03 	 Loss: 8.407e-02/4.155e-02 	 Loss0: 1.228e+08 	 Loss1: 3.107e+13 	 Noimproved! in 70 tirals 	timeConsumed: 5.752e-01 mins
Epoch: 490 	 lr: 2.000e-03 	 Loss: 6.638e-02/4.155e-02 	 Loss0: 6.638e+07 	 Loss1: 2.454e+13 	 Noimproved! in 80 tirals 	timeConsumed: 5.867e-01 mins
Epoch: 500 	 lr: 2.000e-03 	 Loss: 4.163e-02/4.155e-02 	 Loss0: 1.498e+08 	 Loss1: 1.536e+13 	 Noimproved! in 90 tirals 	timeConsumed: 5.983e-01 mins
Epoch: 510 	 lr: 2.000e-03 	 Loss: 2.895e-01/4.155e-02 	 Loss0: 3.599e+08 	 Loss1: 1.070e+14 	 Noimproved! in 100 tirals 	timeConsumed: 6.100e-01 mins
Epoch: 520 	 lr: 2.000e-03 	 Loss: 1.410e-01/4.155e-02 	 Loss0: 1.196e+09 	 Loss1: 5.187e+13 	 Noimproved! in 110 tirals 	timeConsumed: 6.219e-01 mins
Epoch: 530 	 lr: 2.000e-03 	 Loss: 1.218e-01/4.155e-02 	 Loss0: 6.644e+08 	 Loss1: 4.489e+13 	 Noimproved! in 120 tirals 	timeConsumed: 6.332e-01 mins
Epoch: 540 	 lr: 2.000e-03 	 Loss: 1.028e-01/4.155e-02 	 Loss0: 1.483e+08 	 Loss1: 3.798e+13 	 Noimproved! in 130 tirals 	timeConsumed: 6.451e-01 mins
Epoch: 550 	 lr: 2.000e-03 	 Loss: 3.378e-02/3.378e-02 	 Loss0: 1.452e+08 	 Loss1: 1.246e+13 	 Improved! 	timeConsumed: 6.569e-01 mins
Epoch: 560 	 lr: 2.000e-03 	 Loss: 3.579e-02/3.378e-02 	 Loss0: 2.632e+07 	 Loss1: 1.323e+13 	 Noimproved! in 10 tirals 	timeConsumed: 6.685e-01 mins
Epoch: 570 	 lr: 2.000e-03 	 Loss: 8.013e-02/3.378e-02 	 Loss0: 8.178e+08 	 Loss1: 2.945e+13 	 Noimproved! in 20 tirals 	timeConsumed: 6.804e-01 mins
Epoch: 580 	 lr: 2.000e-03 	 Loss: 1.239e-01/3.378e-02 	 Loss0: 1.838e+08 	 Loss1: 4.580e+13 	 Noimproved! in 30 tirals 	timeConsumed: 6.924e-01 mins
Epoch: 590 	 lr: 2.000e-03 	 Loss: 8.067e-02/3.378e-02 	 Loss0: 1.102e+08 	 Loss1: 2.982e+13 	 Noimproved! in 40 tirals 	timeConsumed: 7.042e-01 mins
Epoch: 600 	 lr: 2.000e-03 	 Loss: 1.264e-01/3.378e-02 	 Loss0: 5.987e+07 	 Loss1: 4.673e+13 	 Noimproved! in 50 tirals 	timeConsumed: 7.159e-01 mins
Epoch: 610 	 lr: 2.000e-03 	 Loss: 1.261e-01/3.378e-02 	 Loss0: 3.729e+08 	 Loss1: 4.657e+13 	 Noimproved! in 60 tirals 	timeConsumed: 7.277e-01 mins
Epoch: 620 	 lr: 2.000e-03 	 Loss: 5.470e-02/3.378e-02 	 Loss0: 2.788e+08 	 Loss1: 2.017e+13 	 Noimproved! in 70 tirals 	timeConsumed: 7.394e-01 mins
Epoch: 630 	 lr: 2.000e-03 	 Loss: 1.236e-01/3.378e-02 	 Loss0: 3.207e+07 	 Loss1: 4.572e+13 	 Noimproved! in 80 tirals 	timeConsumed: 7.512e-01 mins
Epoch: 640 	 lr: 2.000e-03 	 Loss: 3.387e-02/3.378e-02 	 Loss0: 5.629e+07 	 Loss1: 1.252e+13 	 Noimproved! in 90 tirals 	timeConsumed: 7.628e-01 mins
Epoch: 650 	 lr: 2.000e-03 	 Loss: 5.498e-02/3.378e-02 	 Loss0: 9.429e+07 	 Loss1: 2.032e+13 	 Noimproved! in 100 tirals 	timeConsumed: 7.744e-01 mins
Epoch: 660 	 lr: 2.000e-03 	 Loss: 3.373e-01/3.378e-02 	 Loss0: 1.827e+08 	 Loss1: 1.247e+14 	 Noimproved! in 110 tirals 	timeConsumed: 7.862e-01 mins
Epoch: 670 	 lr: 2.000e-03 	 Loss: 3.250e-01/3.378e-02 	 Loss0: 9.892e+07 	 Loss1: 1.202e+14 	 Noimproved! in 120 tirals 	timeConsumed: 7.982e-01 mins
Epoch: 680 	 lr: 2.000e-03 	 Loss: 5.632e-01/3.378e-02 	 Loss0: 2.860e+08 	 Loss1: 2.083e+14 	 Noimproved! in 130 tirals 	timeConsumed: 8.100e-01 mins
Epoch: 690 	 lr: 2.000e-03 	 Loss: 5.833e-02/3.378e-02 	 Loss0: 1.439e+08 	 Loss1: 2.154e+13 	 Noimproved! in 140 tirals 	timeConsumed: 8.219e-01 mins
Epoch: 700 	 lr: 2.000e-03 	 Loss: 3.080e-02/3.080e-02 	 Loss0: 1.249e+08 	 Loss1: 1.136e+13 	 Improved! 	timeConsumed: 8.337e-01 mins
Epoch: 710 	 lr: 2.000e-03 	 Loss: 3.771e-02/3.080e-02 	 Loss0: 6.297e+07 	 Loss1: 1.393e+13 	 Noimproved! in 10 tirals 	timeConsumed: 8.453e-01 mins
Epoch: 720 	 lr: 2.000e-03 	 Loss: 5.109e-02/3.080e-02 	 Loss0: 1.377e+08 	 Loss1: 1.887e+13 	 Noimproved! in 20 tirals 	timeConsumed: 8.571e-01 mins
Epoch: 730 	 lr: 2.000e-03 	 Loss: 5.045e-01/3.080e-02 	 Loss0: 4.184e+08 	 Loss1: 1.865e+14 	 Noimproved! in 30 tirals 	timeConsumed: 8.689e-01 mins
Epoch: 740 	 lr: 2.000e-03 	 Loss: 8.124e-01/3.080e-02 	 Loss0: 7.890e+08 	 Loss1: 3.003e+14 	 Noimproved! in 40 tirals 	timeConsumed: 8.810e-01 mins
Epoch: 750 	 lr: 2.000e-03 	 Loss: 1.406e-01/3.080e-02 	 Loss0: 3.613e+08 	 Loss1: 5.191e+13 	 Noimproved! in 50 tirals 	timeConsumed: 8.930e-01 mins
Epoch: 760 	 lr: 2.000e-03 	 Loss: 5.550e-02/3.080e-02 	 Loss0: 2.550e+08 	 Loss1: 2.047e+13 	 Noimproved! in 60 tirals 	timeConsumed: 9.047e-01 mins
Epoch: 770 	 lr: 2.000e-03 	 Loss: 4.954e-02/3.080e-02 	 Loss0: 8.604e+07 	 Loss1: 1.831e+13 	 Noimproved! in 70 tirals 	timeConsumed: 9.164e-01 mins
Epoch: 780 	 lr: 2.000e-03 	 Loss: 2.433e-01/3.080e-02 	 Loss0: 1.404e+08 	 Loss1: 8.998e+13 	 Noimproved! in 80 tirals 	timeConsumed: 9.282e-01 mins
Epoch: 790 	 lr: 2.000e-03 	 Loss: 2.424e-02/2.424e-02 	 Loss0: 4.788e+07 	 Loss1: 8.954e+12 	 Improved! 	timeConsumed: 9.405e-01 mins
Epoch: 800 	 lr: 1.800e-03 	 Loss: 1.425e-01/2.424e-02 	 Loss0: 7.771e+08 	 Loss1: 5.254e+13 	 Noimproved! in 10 tirals 	timeConsumed: 9.523e-01 mins
