# epsilon_xx, epsilon_yy, epsilon_xy
   0.00000,   0.00000,   0.00000
  -0.00073,   0.00130,  -0.00071
  -0.00144,   0.00257,  -0.00143
  -0.00212,   0.00381,  -0.00215
  -0.00276,   0.00502,  -0.00287
  -0.00338,   0.00619,  -0.00360
  -0.00396,   0.00733,  -0.00432
  -0.00451,   0.00844,  -0.00506
  -0.00503,   0.00951,  -0.00579
  -0.00551,   0.01055,  -0.00653
  -0.00596,   0.01156,  -0.00727
  -0.00637,   0.01253,  -0.00801
  -0.00674,   0.01346,  -0.00875
  -0.00707,   0.01436,  -0.00950
  -0.00737,   0.01523,  -0.01025
  -0.00762,   0.01606,  -0.01100
  -0.00783,   0.01685,  -0.01175
  -0.00801,   0.01761,  -0.01251
  -0.00814,   0.01833,  -0.01327
  -0.00823,   0.01902,  -0.01403
  -0.00827,   0.01967,  -0.01479
  -0.00828,   0.02028,  -0.01556
  -0.00823,   0.02086,  -0.01632
  -0.00815,   0.02140,  -0.01709
  -0.00801,   0.02191,  -0.01786
  -0.00783,   0.02238,  -0.01864
  -0.00761,   0.02281,  -0.01941
  -0.00734,   0.02320,  -0.02019
  -0.00702,   0.02356,  -0.02097
  -0.00665,   0.02388,  -0.02175
  -0.00624,   0.02417,  -0.02254
  -0.00578,   0.02442,  -0.02332
  -0.00527,   0.02463,  -0.02411
  -0.00471,   0.02481,  -0.02490
  -0.00410,   0.02495,  -0.02569
  -0.00345,   0.02505,  -0.02649
  -0.00274,   0.02512,  -0.02728
  -0.00199,   0.02515,  -0.02808
  -0.00118,   0.02515,  -0.02888
  -0.00033,   0.02511,  -0.02968
   0.00057,   0.02503,  -0.03049
   0.00153,   0.02492,  -0.03130
   0.00253,   0.02477,  -0.03211
   0.00358,   0.02458,  -0.03292
   0.00468,   0.02437,  -0.03373
   0.00583,   0.02411,  -0.03455
   0.00703,   0.02382,  -0.03537
   0.00828,   0.02350,  -0.03619
   0.00958,   0.02314,  -0.03701
   0.01093,   0.02275,  -0.03784
   0.01232,   0.02232,  -0.03867
   0.01377,   0.02186,  -0.03950
   0.01526,   0.02137,  -0.04034
   0.01680,   0.02084,  -0.04117
   0.01839,   0.02028,  -0.04202
   0.02003,   0.01968,  -0.04286
   0.02171,   0.01905,  -0.04371
   0.02344,   0.01839,  -0.04456
   0.02521,   0.01770,  -0.04541
   0.02704,   0.01698,  -0.04627
   0.02890,   0.01622,  -0.04713
   0.03082,   0.01543,  -0.04799
   0.03277,   0.01461,  -0.04886
   0.03477,   0.01376,  -0.04973
   0.03682,   0.01287,  -0.05061
   0.03891,   0.01196,  -0.05149
   0.04104,   0.01101,  -0.05237
   0.04321,   0.01004,  -0.05326
   0.04543,   0.00903,  -0.05415
   0.04768,   0.00800,  -0.05505
   0.04998,   0.00693,  -0.05595
   0.05231,   0.00584,  -0.05686
   0.05469,   0.00471,  -0.05777
   0.05710,   0.00356,  -0.05869
   0.05955,   0.00238,  -0.05961
   0.06204,   0.00117,  -0.06054
   0.06456,  -0.00007,  -0.06147
   0.06712,  -0.00133,  -0.06241
   0.06972,  -0.00262,  -0.06335
   0.07235,  -0.00394,  -0.06430
   0.07501,  -0.00529,  -0.06526
   0.07771,  -0.00666,  -0.06622
   0.08044,  -0.00806,  -0.06719
   0.08319,  -0.00949,  -0.06816
   0.08598,  -0.01094,  -0.06914
   0.08880,  -0.01242,  -0.07013
   0.09165,  -0.01392,  -0.07113
   0.09453,  -0.01545,  -0.07213
   0.09744,  -0.01701,  -0.07314
   0.10037,  -0.01859,  -0.07416
   0.10332,  -0.02019,  -0.07518
   0.10631,  -0.02182,  -0.07621
   0.10931,  -0.02347,  -0.07725
   0.11234,  -0.02514,  -0.07830
   0.11539,  -0.02684,  -0.07936
   0.11847,  -0.02857,  -0.08042
   0.12156,  -0.03031,  -0.08150
   0.12467,  -0.03208,  -0.08258
   0.12781,  -0.03387,  -0.08367
   0.13096,  -0.03568,  -0.08477
   0.13413,  -0.03752,  -0.08587
   0.13731,  -0.03938,  -0.08699
   0.14051,  -0.04125,  -0.08812
   0.14373,  -0.04315,  -0.08926
   0.14695,  -0.04508,  -0.09040
   0.15020,  -0.04702,  -0.09156
   0.15345,  -0.04898,  -0.09272
   0.15671,  -0.05097,  -0.09390
