# epsilon_xx, epsilon_yy, epsilon_xy
   0.00000,  -0.00000,   0.00000
   0.00254,   0.00041,  -0.00168
   0.00508,   0.00083,  -0.00335
   0.00761,   0.00124,  -0.00502
   0.01013,   0.00166,  -0.00670
   0.01264,   0.00208,  -0.00837
   0.01514,   0.00250,  -0.01004
   0.01764,   0.00292,  -0.01170
   0.02013,   0.00334,  -0.01337
   0.02261,   0.00377,  -0.01504
   0.02508,   0.00419,  -0.01670
   0.02754,   0.00461,  -0.01837
   0.02999,   0.00504,  -0.02003
   0.03244,   0.00547,  -0.02169
   0.03488,   0.00590,  -0.02335
   0.03731,   0.00633,  -0.02501
   0.03973,   0.00676,  -0.02667
   0.04214,   0.00719,  -0.02832
   0.04454,   0.00762,  -0.02998
   0.04694,   0.00806,  -0.03163
   0.04932,   0.00849,  -0.03328
   0.05170,   0.00893,  -0.03493
   0.05407,   0.00937,  -0.03658
   0.05643,   0.00981,  -0.03823
   0.05878,   0.01024,  -0.03988
   0.06112,   0.01068,  -0.04152
   0.06345,   0.01113,  -0.04317
   0.06577,   0.01157,  -0.04481
   0.06809,   0.01201,  -0.04645
   0.07039,   0.01246,  -0.04809
   0.07269,   0.01290,  -0.04973
   0.07497,   0.01335,  -0.05137
   0.07725,   0.01380,  -0.05300
   0.07951,   0.01424,  -0.05464
   0.08177,   0.01469,  -0.05627
   0.08402,   0.01514,  -0.05790
   0.08626,   0.01560,  -0.05953
   0.08848,   0.01605,  -0.06116
   0.09070,   0.01650,  -0.06279
   0.09291,   0.01695,  -0.06441
   0.09511,   0.01741,  -0.06604
   0.09730,   0.01787,  -0.06766
   0.09948,   0.01832,  -0.06929
   0.10165,   0.01878,  -0.07091
   0.10381,   0.01924,  -0.07253
   0.10596,   0.01970,  -0.07414
   0.10810,   0.02016,  -0.07576
   0.11023,   0.02062,  -0.07737
   0.11235,   0.02108,  -0.07899
   0.11446,   0.02155,  -0.08060
   0.11656,   0.02201,  -0.08221
   0.11864,   0.02247,  -0.08382
   0.12072,   0.02294,  -0.08543
   0.12279,   0.02341,  -0.08704
   0.12485,   0.02387,  -0.08864
   0.12690,   0.02434,  -0.09024
   0.12893,   0.02481,  -0.09185
   0.13096,   0.02528,  -0.09345
   0.13298,   0.02575,  -0.09505
   0.13498,   0.02623,  -0.09664
   0.13698,   0.02670,  -0.09824
   0.13896,   0.02717,  -0.09984
   0.14094,   0.02765,  -0.10143
   0.14290,   0.02812,  -0.10302
   0.14485,   0.02860,  -0.10461
   0.14680,   0.02908,  -0.10620
   0.14873,   0.02955,  -0.10779
   0.15065,   0.03003,  -0.10938
   0.15256,   0.03051,  -0.11096
   0.15446,   0.03099,  -0.11255
   0.15635,   0.03147,  -0.11413
   0.15823,   0.03196,  -0.11571
   0.16009,   0.03244,  -0.11729
   0.16195,   0.03292,  -0.11887
   0.16379,   0.03341,  -0.12044
   0.16563,   0.03389,  -0.12202
   0.16745,   0.03438,  -0.12359
   0.16926,   0.03487,  -0.12516
   0.17107,   0.03536,  -0.12673
   0.17286,   0.03585,  -0.12830
   0.17464,   0.03634,  -0.12987
   0.17640,   0.03683,  -0.13144
   0.17816,   0.03732,  -0.13300
   0.17991,   0.03781,  -0.13457
   0.18164,   0.03830,  -0.13613
   0.18337,   0.03880,  -0.13769
   0.18508,   0.03929,  -0.13925
   0.18678,   0.03979,  -0.14080
   0.18847,   0.04029,  -0.14236
   0.19015,   0.04078,  -0.14392
   0.19182,   0.04128,  -0.14547
   0.19348,   0.04178,  -0.14702
   0.19513,   0.04228,  -0.14857
   0.19676,   0.04278,  -0.15012
   0.19838,   0.04329,  -0.15167
   0.20000,   0.04379,  -0.15321
   0.20160,   0.04429,  -0.15476
   0.20319,   0.04480,  -0.15630
   0.20477,   0.04530,  -0.15784
   0.20633,   0.04581,  -0.15939
   0.20789,   0.04632,  -0.16092
   0.20944,   0.04682,  -0.16246
   0.21097,   0.04733,  -0.16400
   0.21249,   0.04784,  -0.16553
   0.21400,   0.04835,  -0.16707
   0.21550,   0.04886,  -0.16860
   0.21699,   0.04938,  -0.17013
   0.21847,   0.04989,  -0.17166
   0.21994,   0.05040,  -0.17319
   0.22139,   0.05092,  -0.17471
   0.22284,   0.05144,  -0.17624
   0.22427,   0.05195,  -0.17776
   0.22569,   0.05247,  -0.17928
   0.22710,   0.05299,  -0.18080
   0.22850,   0.05351,  -0.18232
   0.22989,   0.05403,  -0.18384
   0.23126,   0.05455,  -0.18535
   0.23263,   0.05507,  -0.18687
   0.23398,   0.05560,  -0.18838
   0.23533,   0.05612,  -0.18989
   0.23666,   0.05665,  -0.19140
   0.23798,   0.05717,  -0.19291
   0.23929,   0.05770,  -0.19442
