# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
-1517817.10304,-1560273.52550,-281273.79881,  -0.00000,  -0.00000,  -0.00000,1614731.32128,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-473025404.50525,   0.00000
-3054208.89091,-3128507.63022,-557240.54482,  -0.00001,  -0.00001,  -0.00001,3239164.58312,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471400971.24341,   0.00000
-4582640.09956,-4678167.05010,-827900.23802,  -0.00001,  -0.00001,  -0.00001,4848065.35918,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-469792070.46735,   0.00000
-6084536.04418,-6201291.20595,-1098559.93122,  -0.00002,  -0.00002,  -0.00001,6431649.35287,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-468208486.47366,   0.00000
-7605006.67362,-7732375.94101,-1363912.57161,  -0.00002,  -0.00002,  -0.00002,8025071.09461,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-466615064.73192,   0.00000
-9106902.61823,-9255500.09685,-1623958.15920,  -0.00002,  -0.00002,  -0.00002,9603267.13073,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-465036868.69580,   0.00000
-10619412.66847,-10768010.14708,-1884003.74678,  -0.00003,  -0.00003,  -0.00002,11181253.72820,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-463458882.09833,   0.00000
-12123962.13949,-12261945.51249,-2138742.28156,  -0.00003,  -0.00003,  -0.00003,12743824.31619,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-461896311.51034,   0.00000
-13609936.92568,-13747920.29868,-2388173.76352,  -0.00004,  -0.00004,  -0.00003,14291168.22761,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-460348967.59892,   0.00000
-15106525.81749,-15223280.97926,-2637605.24549,  -0.00004,  -0.00004,  -0.00003,15838415.42582,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-458801720.40071,   0.00000
-16584540.02447,-16690681.08062,-2881729.67465,  -0.00004,  -0.00004,  -0.00004,17370424.06202,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-457269711.76451,   0.00000
-18073168.33706,-18147467.07637,-3125854.10381,  -0.00005,  -0.00005,  -0.00004,18902397.71299,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-455737738.11354,   0.00000
-19561796.64966,-19604253.07212,-3364671.48016,  -0.00005,  -0.00005,  -0.00004,20431819.72124,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-454208316.10529,   0.00000
-21023889.69821,-21034503.80383,-3598181.80371,  -0.00005,  -0.00005,  -0.00005,21933260.98338,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-452706874.84315,   0.00000
-22496596.85239,-22454140.42992,-3831692.12725,  -0.00006,  -0.00006,  -0.00005,23434784.85373,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-451205350.97279,   0.00000
-23950729.32173,-23865816.47681,-4059895.39799,  -0.00006,  -0.00006,  -0.00005,24921058.81774,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-449719077.00879,   0.00000
-25423436.47590,-25285453.10290,-4282791.61592,  -0.00007,  -0.00007,  -0.00006,26417590.01524,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-448222545.81129,   0.00000
-26869608.36604,-26678554.46496,-4505687.83385,  -0.00007,  -0.00007,  -0.00006,27888751.86176,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-446751383.96477,   0.00000
-28326394.36179,-28061041.72140,-4728584.05178,  -0.00007,  -0.00007,  -0.00006,29360127.16987,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-445280008.65666,   0.00000
-29764605.67271,-29435568.39862,-4940866.16409,  -0.00008,  -0.00008,  -0.00006,30813679.21912,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-443826456.60740,   0.00000
