# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1181185.37500,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-473459392.00000,   0.00000
1383730.14111,-1355081.48394,63027.04576,   0.00001,  -0.00001,   0.00000,3749898.50000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-470890688.00000,   0.00000
2796108.93938,-2681514.31072,126054.09153,   0.00002,  -0.00002,   0.00000,7074751.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-467565824.00000,   0.00000
4188433.67764,-4016541.73465,183351.40586,   0.00003,  -0.00003,   0.00000,8391130.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-466249440.00000,   0.00000
5580758.41590,-5351569.15857,246378.45163,   0.00004,  -0.00004,   0.00000,9267644.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-465372928.00000,   0.00000
6981677.75131,-6666542.52249,309405.49739,   0.00004,  -0.00004,   0.00000,10438978.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-464201600.00000,   0.00000
8391191.68387,-7961461.82638,366702.81172,   0.00005,  -0.00005,   0.00000,11983656.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-462656928.00000,   0.00000
9800705.61643,-9256381.13028,424000.12605,   0.00006,  -0.00006,   0.00001,13840617.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-460799952.00000,   0.00000
11210219.54898,-10551300.43417,487027.17182,   0.00007,  -0.00007,   0.00001,15917199.00000,   0.00000,274640576.00000,   0.00000,   0.00000,   0.00000,-458723376.00000,   0.00000
