--------------------------------------------------------------------------------
2022/01/19  00:32:37
PatienceNum:	100
Save path:	misesModel/ResidualNet_data_Noscaled
Model architecture:	 DenseResNet(
  (activation): Sigmoid()
  (first): Linear(in_features=200, out_features=50, bias=True)
  (resblocks): ModuleList(
    (0): ModuleList(
      (0): Linear(in_features=50, out_features=50, bias=True)
      (1): Linear(in_features=50, out_features=50, bias=True)
    )
    (1): ModuleList(
      (0): Linear(in_features=50, out_features=50, bias=True)
      (1): Linear(in_features=50, out_features=50, bias=True)
    )
    (2): ModuleList(
      (0): Linear(in_features=50, out_features=50, bias=True)
      (1): Linear(in_features=50, out_features=50, bias=True)
    )
  )
  (last): Linear(in_features=50, out_features=1, bias=True)
)
Optimizer:	Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    initial_lr: 0.002
    lr: 0.002
    weight_decay: 0
)
Number of training samples:	5000
--------------------------------------------------------------------------------
Epoch: 0 	 lr: 2.000e-03 	 Loss: 8.970e+00 	 Loss0: 1.509e+17 	 Loss1: 3.547e-01 	 Improved! 	timeConsumed: 1.210e-03 mins
Epoch: 10 	 lr: 2.000e-03 	 Loss: 2.735e-01 	 Loss0: 1.622e+15 	 Loss1: 7.543e-02 	 Improved! 	timeConsumed: 1.007e-02 mins
Epoch: 20 	 lr: 2.000e-03 	 Loss: 1.302e-01 	 Loss0: 8.034e+14 	 Loss1: 3.522e-02 	 Improved! 	timeConsumed: 1.869e-02 mins
Epoch: 30 	 lr: 2.000e-03 	 Loss: 4.824e-02 	 Loss0: 2.339e+14 	 Loss1: 1.444e-02 	 Improved! 	timeConsumed: 2.743e-02 mins
Epoch: 40 	 lr: 2.000e-03 	 Loss: 2.953e-02 	 Loss0: 9.737e+13 	 Loss1: 9.835e-03 	 Improved! 	timeConsumed: 3.599e-02 mins
Epoch: 50 	 lr: 2.000e-03 	 Loss: 2.111e-02 	 Loss0: 5.407e+13 	 Loss1: 7.365e-03 	 Improved! 	timeConsumed: 4.475e-02 mins
Epoch: 60 	 lr: 2.000e-03 	 Loss: 1.631e-02 	 Loss0: 3.259e+13 	 Loss1: 5.890e-03 	 Improved! 	timeConsumed: 5.324e-02 mins
Epoch: 70 	 lr: 2.000e-03 	 Loss: 1.641e-02 	 Loss0: 2.548e+13 	 Loss1: 6.083e-03 	 Noimproved! in 10 tirals 	timeConsumed: 6.176e-02 mins
Epoch: 80 	 lr: 2.000e-03 	 Loss: 1.403e-02 	 Loss0: 1.968e+13 	 Loss1: 5.249e-03 	 Improved! 	timeConsumed: 7.033e-02 mins
Epoch: 90 	 lr: 2.000e-03 	 Loss: 1.369e-02 	 Loss0: 1.567e+13 	 Loss1: 5.199e-03 	 Improved! 	timeConsumed: 7.890e-02 mins
Epoch: 100 	 lr: 2.000e-03 	 Loss: 1.271e-02 	 Loss0: 1.366e+13 	 Loss1: 4.846e-03 	 Improved! 	timeConsumed: 8.745e-02 mins
