--------------------------------------------------------------------------------
2022/01/18  19:40:38
PatienceNum:	100
Save path:	misesModel\dmdmd_Fourier_data_Noscaled
Model architecture:	 Net(
  (layers): ModuleList(
    (0): Linear(in_features=100, out_features=100, bias=True)
    (1): Linear(in_features=100, out_features=100, bias=True)
    (2): Linear(in_features=100, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=100, bias=True)
    (4): Linear(in_features=100, out_features=1, bias=True)
  )
  (activation): Sigmoid()
  (first): Linear(in_features=200, out_features=100, bias=True)
)
Optimizer:	Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    initial_lr: 0.002
    lr: 0.002
    weight_decay: 0
)
Number of training samples:	5000
--------------------------------------------------------------------------------
Epoch: 0 	 lr: 2.000e-03 	 Loss: 3.065e+00 	 Loss0: 4.279e+16 	 Loss1: 3.117e-01 	 Improved! 	timeConsumed: 5.469e-03 mins
Epoch: 10 	 lr: 2.000e-03 	 Loss: 3.502e-02 	 Loss0: 1.799e+14 	 Loss1: 1.026e-02 	 Improved! 	timeConsumed: 1.755e-02 mins
Epoch: 20 	 lr: 2.000e-03 	 Loss: 1.855e-02 	 Loss0: 2.696e+13 	 Loss1: 6.919e-03 	 Improved! 	timeConsumed: 2.999e-02 mins
Epoch: 30 	 lr: 2.000e-03 	 Loss: 1.805e-02 	 Loss0: 2.646e+13 	 Loss1: 6.729e-03 	 Improved! 	timeConsumed: 4.136e-02 mins
Epoch: 40 	 lr: 2.000e-03 	 Loss: 1.329e-02 	 Loss0: 7.347e+12 	 Loss1: 5.217e-03 	 Improved! 	timeConsumed: 5.274e-02 mins
Epoch: 50 	 lr: 2.000e-03 	 Loss: 1.486e-02 	 Loss0: 1.992e+13 	 Loss1: 5.577e-03 	 Noimproved! in 10 tirals 	timeConsumed: 6.406e-02 mins
Epoch: 60 	 lr: 2.000e-03 	 Loss: 2.321e-02 	 Loss0: 6.837e+13 	 Loss1: 7.905e-03 	 Noimproved! in 20 tirals 	timeConsumed: 7.540e-02 mins
Epoch: 70 	 lr: 2.000e-03 	 Loss: 1.298e-02 	 Loss0: 7.862e+12 	 Loss1: 5.078e-03 	 Improved! 	timeConsumed: 8.672e-02 mins
Epoch: 80 	 lr: 2.000e-03 	 Loss: 1.255e-02 	 Loss0: 7.729e+12 	 Loss1: 4.910e-03 	 Improved! 	timeConsumed: 9.821e-02 mins
Epoch: 90 	 lr: 2.000e-03 	 Loss: 1.238e-02 	 Loss0: 6.389e+12 	 Loss1: 4.869e-03 	 Improved! 	timeConsumed: 1.093e-01 mins
Epoch: 100 	 lr: 2.000e-03 	 Loss: 1.228e-02 	 Loss0: 7.346e+12 	 Loss1: 4.808e-03 	 Improved! 	timeConsumed: 1.206e-01 mins
