--------------------------------------------------------------------------------
2022/01/18  11:12:38
PatienceNum:	50
Save path:	misesModel\dmdmd_generation
Model architecture:	 NetContrained(
  (activation): SSP(beta=1, threshold=20)
  (layers): ModuleList(
    (0): Linear(in_features=9, out_features=20, bias=True)
    (1): Linear(in_features=20, out_features=20, bias=True)
    (2): Linear(in_features=20, out_features=20, bias=True)
    (3): Linear(in_features=20, out_features=20, bias=True)
    (4): Linear(in_features=20, out_features=1, bias=True)
  )
)
Optimizer:	NAdam (
Parameter Group 0
    betas: (0.9, 0.999)
    eps: 1e-08
    initial_lr: 0.002
    lr: 0.002
    momentum_decay: 0.004
    weight_decay: 0
)
Number of training samples:	1000
--------------------------------------------------------------------------------
Epoch: 0 	 lr: 2.000e-03 	 Loss: 2.536e+02 	 Loss0: 2.381e+02 	 Loss1: 3.881e+02 	 Improved! 	timeConsumed: 6.317e-03 mins
Epoch: 10 	 lr: 2.000e-03 	 Loss: 1.361e+01 	 Loss0: 7.431e+00 	 Loss1: 1.545e+02 	 Improved! 	timeConsumed: 1.865e-02 mins
Epoch: 20 	 lr: 2.000e-03 	 Loss: 6.463e+00 	 Loss0: 2.393e+00 	 Loss1: 1.017e+02 	 Improved! 	timeConsumed: 3.157e-02 mins
Epoch: 30 	 lr: 2.000e-03 	 Loss: 4.198e+00 	 Loss0: 1.163e+00 	 Loss1: 7.588e+01 	 Improved! 	timeConsumed: 4.453e-02 mins
Epoch: 40 	 lr: 2.000e-03 	 Loss: 3.588e+00 	 Loss0: 9.053e-01 	 Loss1: 6.708e+01 	 Improved! 	timeConsumed: 5.658e-02 mins
Epoch: 50 	 lr: 2.000e-03 	 Loss: 3.214e+00 	 Loss0: 6.448e-01 	 Loss1: 6.423e+01 	 Improved! 	timeConsumed: 6.847e-02 mins
Epoch: 60 	 lr: 2.000e-03 	 Loss: 3.342e+00 	 Loss0: 8.158e-01 	 Loss1: 6.315e+01 	 Noimproved! in 10 tirals 	timeConsumed: 8.017e-02 mins
Epoch: 70 	 lr: 2.000e-03 	 Loss: 3.075e+00 	 Loss0: 5.755e-01 	 Loss1: 6.247e+01 	 Improved! 	timeConsumed: 9.207e-02 mins
Epoch: 80 	 lr: 2.000e-03 	 Loss: 3.081e+00 	 Loss0: 6.173e-01 	 Loss1: 6.161e+01 	 Noimproved! in 10 tirals 	timeConsumed: 1.036e-01 mins
Epoch: 90 	 lr: 2.000e-03 	 Loss: 2.999e+00 	 Loss0: 5.511e-01 	 Loss1: 6.121e+01 	 Improved! 	timeConsumed: 1.159e-01 mins
Epoch: 100 	 lr: 2.000e-03 	 Loss: 2.927e+00 	 Loss0: 5.029e-01 	 Loss1: 6.060e+01 	 Improved! 	timeConsumed: 1.282e-01 mins
