--------------------------------------------------------------------------------
2022/01/18  12:37:05
PatienceNum:	50
Save path:	misesModel\dmdmd_generation_Noscaled
Model architecture:	 Net(
  (layers): ModuleList(
    (0): Linear(in_features=3, out_features=20, bias=True)
    (1): Linear(in_features=20, out_features=20, bias=True)
    (2): Linear(in_features=20, out_features=20, bias=True)
    (3): Linear(in_features=20, out_features=20, bias=True)
    (4): Linear(in_features=20, out_features=1, bias=True)
  )
  (activation): SSP(beta=1, threshold=20)
)
Optimizer:	NAdam (
Parameter Group 0
    betas: (0.9, 0.999)
    eps: 1e-08
    initial_lr: 0.002
    lr: 0.002
    momentum_decay: 0.004
    weight_decay: 0
)
Number of training samples:	1000
--------------------------------------------------------------------------------
Epoch: 0 	 lr: 2.000e-03 	 Loss: 2.012e+03 	 Loss0: 1.985e+03 	 Loss1: 6.976e+02 	 Improved! 	timeConsumed: 5.768e-03 mins
Epoch: 10 	 lr: 2.000e-03 	 Loss: 3.249e+01 	 Loss0: 2.628e+01 	 Loss1: 1.552e+02 	 Improved! 	timeConsumed: 1.582e-02 mins
Epoch: 20 	 lr: 2.000e-03 	 Loss: 9.453e+00 	 Loss0: 6.701e+00 	 Loss1: 6.881e+01 	 Improved! 	timeConsumed: 2.495e-02 mins
Epoch: 30 	 lr: 2.000e-03 	 Loss: 7.581e+00 	 Loss0: 5.395e+00 	 Loss1: 5.464e+01 	 Improved! 	timeConsumed: 3.428e-02 mins
Epoch: 40 	 lr: 2.000e-03 	 Loss: 5.810e+00 	 Loss0: 4.101e+00 	 Loss1: 4.272e+01 	 Improved! 	timeConsumed: 4.299e-02 mins
Epoch: 50 	 lr: 2.000e-03 	 Loss: 4.060e+00 	 Loss0: 2.749e+00 	 Loss1: 3.276e+01 	 Improved! 	timeConsumed: 5.241e-02 mins
Epoch: 60 	 lr: 2.000e-03 	 Loss: 2.816e+00 	 Loss0: 1.793e+00 	 Loss1: 2.556e+01 	 Improved! 	timeConsumed: 6.175e-02 mins
Epoch: 70 	 lr: 2.000e-03 	 Loss: 2.293e+00 	 Loss0: 1.421e+00 	 Loss1: 2.178e+01 	 Improved! 	timeConsumed: 7.113e-02 mins
Epoch: 80 	 lr: 2.000e-03 	 Loss: 2.128e+00 	 Loss0: 1.361e+00 	 Loss1: 1.917e+01 	 Improved! 	timeConsumed: 8.019e-02 mins
Epoch: 90 	 lr: 2.000e-03 	 Loss: 1.999e+00 	 Loss0: 1.323e+00 	 Loss1: 1.691e+01 	 Improved! 	timeConsumed: 8.963e-02 mins
Epoch: 100 	 lr: 2.000e-03 	 Loss: 3.297e+00 	 Loss0: 2.633e+00 	 Loss1: 1.661e+01 	 Noimproved! in 10 tirals 	timeConsumed: 9.894e-02 mins
Epoch: 110 	 lr: 2.000e-03 	 Loss: 1.863e+00 	 Loss0: 1.346e+00 	 Loss1: 1.293e+01 	 Improved! 	timeConsumed: 1.083e-01 mins
Epoch: 120 	 lr: 2.000e-03 	 Loss: 9.988e-01 	 Loss0: 5.722e-01 	 Loss1: 1.067e+01 	 Improved! 	timeConsumed: 1.181e-01 mins
Epoch: 130 	 lr: 2.000e-03 	 Loss: 1.400e+00 	 Loss0: 9.973e-01 	 Loss1: 1.007e+01 	 Noimproved! in 10 tirals 	timeConsumed: 1.273e-01 mins
Epoch: 140 	 lr: 2.000e-03 	 Loss: 2.085e+00 	 Loss0: 1.680e+00 	 Loss1: 1.014e+01 	 Noimproved! in 20 tirals 	timeConsumed: 1.365e-01 mins
Epoch: 150 	 lr: 2.000e-03 	 Loss: 2.014e+00 	 Loss0: 1.634e+00 	 Loss1: 9.498e+00 	 Noimproved! in 30 tirals 	timeConsumed: 1.457e-01 mins
Epoch: 160 	 lr: 2.000e-03 	 Loss: 6.752e-01 	 Loss0: 3.738e-01 	 Loss1: 7.535e+00 	 Improved! 	timeConsumed: 1.558e-01 mins
Epoch: 170 	 lr: 2.000e-03 	 Loss: 5.831e-01 	 Loss0: 2.991e-01 	 Loss1: 7.098e+00 	 Improved! 	timeConsumed: 1.651e-01 mins
